"","death","pm10tmean","tmpd","rmtmpd","dptp","rmdptp","dow","date"
"1",130,-7.433544304,31.5,NA,31.5,NA,"Thursday",1987-01-01
"2",150,NA,33,NA,29.875,NA,"Friday",1987-01-02
"3",101,-1.550923086,33,NA,27.375,NA,"Saturday",1987-01-03
"4",135,5.5664556962,29,32.5,28.625,29.5833333333333,"Sunday",1987-01-04
"5",126,NA,32,31.6666666666667,28.875,28.625,"Monday",1987-01-05
"6",130,6.5664556962,40,31.3333333333333,35.125,28.2916666666667,"Tuesday",1987-01-06
"7",129,-0.433544304,34.5,33.6666666666667,26.75,30.875,"Wednesday",1987-01-07
"8",109,-5.433544304,29,35.5,22,30.25,"Thursday",1987-01-08
"9",125,-2.040847239,26.5,34.5,29,27.9583333333333,"Friday",1987-01-09
"10",153,NA,32.5,30,27.75,25.9166666666667,"Saturday",1987-01-10
"11",124,-19.4335443,29.5,29.3333333333333,20.125,26.25,"Sunday",1987-01-11
"12",111,-15.4335443,34.5,29.5,26,25.625,"Monday",1987-01-12
"13",104,11.566455696,34,32.1666666666667,32.25,24.625,"Tuesday",1987-01-13
"14",118,1.5664556962,37.5,32.6666666666667,36.375,26.125,"Wednesday",1987-01-14
"15",109,-7.452417017,32.5,35.3333333333333,24.25,31.5416666666667,"Thursday",1987-01-15
"16",125,-22.4335443,25,34.6666666666667,21.5,30.9583333333333,"Friday",1987-01-16
"17",128,NA,27,31.6666666666667,24.75,27.375,"Saturday",1987-01-17
"18",141,-2.433544304,17.5,28.1666666666667,11.125,23.5,"Sunday",1987-01-18
"19",130,-9.433544304,23,23.1666666666667,15.75,19.125,"Monday",1987-01-19
"20",133,-3.433544304,20.5,22.5,11.5,17.2083333333333,"Tuesday",1987-01-20
"21",115,-2.401652863,22,20.3333333333333,20.625,12.7916666666667,"Wednesday",1987-01-21
"22",121,10.566455696,19.5,21.8333333333333,7.375,15.9583333333333,"Thursday",1987-01-22
"23",107,13.566455696,2.5,20.6666666666667,-12.25,13.1666666666667,"Friday",1987-01-23
"24",123,-3.433544304,2,14.6666666666667,-5.625,5.25,"Saturday",1987-01-24
"25",107,NA,9.5,8,-5.25,-3.5,"Sunday",1987-01-25
"26",116,29.566455696,16,4.66666666666667,4.75,-7.70833333333333,"Monday",1987-01-26
"27",130,1.9285282263,17.5,9.16666666666667,17.75,-2.04166666666667,"Tuesday",1987-01-27
"28",114,5.5664556962,29.5,14.3333333333333,18.25,5.75,"Wednesday",1987-01-28
"29",123,-6.433544304,29.5,21,32.875,13.5833333333333,"Thursday",1987-01-29
"30",103,17.566455696,32.5,25.5,24.125,22.9583333333333,"Friday",1987-01-30
"31",115,-5.433544304,27.5,30.5,26.5,25.0833333333333,"Saturday",1987-01-31
"32",127,NA,41,29.8333333333333,32.25,27.8333333333333,"Sunday",1987-02-01
"33",131,5.838868463,36.5,33.6666666666667,34,27.625,"Monday",1987-02-02
"34",112,17.566455696,34,35,26.25,30.9166666666667,"Tuesday",1987-02-03
"35",126,-3.070220428,31.5,37.1666666666667,24.25,30.8333333333333,"Wednesday",1987-02-04
"36",127,28.566455696,29.5,34,27.25,28.1666666666667,"Thursday",1987-02-05
"37",103,21.566455696,37,31.6666666666667,30.375,25.9166666666667,"Friday",1987-02-06
"38",128,2.5664556962,40.5,32.6666666666667,35.75,27.2916666666667,"Saturday",1987-02-07
"39",133,-17.14958498,32.5,35.6666666666667,3.5,31.125,"Sunday",1987-02-08
"40",115,0.5664556962,24.5,36.6666666666667,17.375,23.2083333333333,"Monday",1987-02-09
"41",124,-5.433544304,35,32.5,27.375,18.875,"Tuesday",1987-02-10
"42",117,41.566455696,39.5,30.6666666666667,29.375,16.0833333333333,"Wednesday",1987-02-11
"43",116,42.566455696,34,33,24.75,24.7083333333333,"Thursday",1987-02-12
"44",128,-2.433544304,34.5,36.1666666666667,30.875,27.1666666666667,"Friday",1987-02-13
"45",119,-11.91746311,31.5,36,22,28.3333333333333,"Saturday",1987-02-14
"46",115,-29.4335443,23.5,33.3333333333333,10.125,25.875,"Sunday",1987-02-15
"47",107,-27.4335443,24,29.8333333333333,18.125,21,"Monday",1987-02-16
"48",111,-18.4335443,31.5,26.3333333333333,20.25,16.75,"Tuesday",1987-02-17
"49",116,-14.4335443,31.5,26.3333333333333,20,16.1666666666667,"Wednesday",1987-02-18
"50",115,7.5664556962,34,29,19.625,19.4583333333333,"Thursday",1987-02-19
"51",124,33.099694846,32.5,32.3333333333333,17,19.9583333333333,"Friday",1987-02-20
"52",119,17.566455696,38,32.6666666666667,24.5,18.875,"Saturday",1987-02-21
"53",126,4.5664556962,35.5,34.8333333333333,25.125,20.375,"Sunday",1987-02-22
"54",147,5.5664556962,35.5,35.3333333333333,24.75,22.2083333333333,"Monday",1987-02-23
"55",118,6.5664556962,31.5,36.3333333333333,25.25,24.7916666666667,"Tuesday",1987-02-24
"56",138,6.5664556962,34.5,34.1666666666667,21.875,25.0416666666667,"Wednesday",1987-02-25
"57",119,-7.185191079,36,33.8333333333333,18.5,23.9583333333333,"Thursday",1987-02-26
"58",100,14.566455696,39.5,34,28.25,21.875,"Friday",1987-02-27
"59",119,-10.4335443,40,36.6666666666667,38.375,22.875,"Saturday",1987-02-28
"60",123,-26.4335443,39,38.5,28.375,28.375,"Sunday",1987-03-01
"61",125,-5.433544304,41,39.5,27.875,31.6666666666667,"Monday",1987-03-02
"62",124,-9.433544304,36.5,40,14.875,31.5416666666667,"Tuesday",1987-03-03
"63",113,4.1020099041,38,38.8333333333333,26.75,23.7083333333333,"Wednesday",1987-03-04
"64",125,-11.4335443,44,38.5,34.375,23.1666666666667,"Thursday",1987-03-05
"65",108,34.566455696,48.5,39.5,39.5,25.3333333333333,"Friday",1987-03-06
"66",114,7.5664556962,59.5,43.5,36.875,33.5416666666667,"Saturday",1987-03-07
"67",109,19.566455696,54.5,50.6666666666667,33.625,36.9166666666667,"Sunday",1987-03-08
