"","death","pm10tmean","tmpd","dptp","dow","date"
"1",130,-7.433544304,31.5,31.5,"Thursday",1987-01-01
"2",150,NA,33,29.875,"Friday",1987-01-02
"3",101,-1.550923086,33,27.375,"Saturday",1987-01-03
"4",135,5.5664556962,29,28.625,"Sunday",1987-01-04
"5",126,NA,32,28.875,"Monday",1987-01-05
"6",130,6.5664556962,40,35.125,"Tuesday",1987-01-06
"7",129,-0.433544304,34.5,26.75,"Wednesday",1987-01-07
"8",109,-5.433544304,29,22,"Thursday",1987-01-08
"9",125,-2.040847239,26.5,29,"Friday",1987-01-09
"10",153,NA,32.5,27.75,"Saturday",1987-01-10
"11",124,-19.4335443,29.5,20.125,"Sunday",1987-01-11
"12",111,-15.4335443,34.5,26,"Monday",1987-01-12
"13",104,11.566455696,34,32.25,"Tuesday",1987-01-13
"14",118,1.5664556962,37.5,36.375,"Wednesday",1987-01-14
"15",109,-7.452417017,32.5,24.25,"Thursday",1987-01-15
"16",125,-22.4335443,25,21.5,"Friday",1987-01-16
"17",128,NA,27,24.75,"Saturday",1987-01-17
"18",141,-2.433544304,17.5,11.125,"Sunday",1987-01-18
"19",130,-9.433544304,23,15.75,"Monday",1987-01-19
"20",133,-3.433544304,20.5,11.5,"Tuesday",1987-01-20
"21",115,-2.401652863,22,20.625,"Wednesday",1987-01-21
"22",121,10.566455696,19.5,7.375,"Thursday",1987-01-22
"23",107,13.566455696,2.5,-12.25,"Friday",1987-01-23
"24",123,-3.433544304,2,-5.625,"Saturday",1987-01-24
"25",107,NA,9.5,-5.25,"Sunday",1987-01-25
"26",116,29.566455696,16,4.75,"Monday",1987-01-26
"27",130,1.9285282263,17.5,17.75,"Tuesday",1987-01-27
"28",114,5.5664556962,29.5,18.25,"Wednesday",1987-01-28
"29",123,-6.433544304,29.5,32.875,"Thursday",1987-01-29
"30",103,17.566455696,32.5,24.125,"Friday",1987-01-30
"31",115,-5.433544304,27.5,26.5,"Saturday",1987-01-31
"32",127,NA,41,32.25,"Sunday",1987-02-01
"33",131,5.838868463,36.5,34,"Monday",1987-02-02
"34",112,17.566455696,34,26.25,"Tuesday",1987-02-03
"35",126,-3.070220428,31.5,24.25,"Wednesday",1987-02-04
"36",127,28.566455696,29.5,27.25,"Thursday",1987-02-05
"37",103,21.566455696,37,30.375,"Friday",1987-02-06
"38",128,2.5664556962,40.5,35.75,"Saturday",1987-02-07
"39",133,-17.14958498,32.5,3.5,"Sunday",1987-02-08
"40",115,0.5664556962,24.5,17.375,"Monday",1987-02-09
"41",124,-5.433544304,35,27.375,"Tuesday",1987-02-10
"42",117,41.566455696,39.5,29.375,"Wednesday",1987-02-11
"43",116,42.566455696,34,24.75,"Thursday",1987-02-12
"44",128,-2.433544304,34.5,30.875,"Friday",1987-02-13
"45",119,-11.91746311,31.5,22,"Saturday",1987-02-14
"46",115,-29.4335443,23.5,10.125,"Sunday",1987-02-15
"47",107,-27.4335443,24,18.125,"Monday",1987-02-16
"48",111,-18.4335443,31.5,20.25,"Tuesday",1987-02-17
"49",116,-14.4335443,31.5,20,"Wednesday",1987-02-18
"50",115,7.5664556962,34,19.625,"Thursday",1987-02-19
"51",124,33.099694846,32.5,17,"Friday",1987-02-20
"52",119,17.566455696,38,24.5,"Saturday",1987-02-21
"53",126,4.5664556962,35.5,25.125,"Sunday",1987-02-22
"54",147,5.5664556962,35.5,24.75,"Monday",1987-02-23
"55",118,6.5664556962,31.5,25.25,"Tuesday",1987-02-24
"56",138,6.5664556962,34.5,21.875,"Wednesday",1987-02-25
"57",119,-7.185191079,36,18.5,"Thursday",1987-02-26
"58",100,14.566455696,39.5,28.25,"Friday",1987-02-27
"59",119,-10.4335443,40,38.375,"Saturday",1987-02-28
"60",123,-26.4335443,39,28.375,"Sunday",1987-03-01
"61",125,-5.433544304,41,27.875,"Monday",1987-03-02
"62",124,-9.433544304,36.5,14.875,"Tuesday",1987-03-03
"63",113,4.1020099041,38,26.75,"Wednesday",1987-03-04
"64",125,-11.4335443,44,34.375,"Thursday",1987-03-05
"65",108,34.566455696,48.5,39.5,"Friday",1987-03-06
"66",114,7.5664556962,59.5,36.875,"Saturday",1987-03-07
"67",109,19.566455696,54.5,33.625,"Sunday",1987-03-08
"68",126,-16.4335443,31,14,"Monday",1987-03-09
"69",113,-16.84910079,25.5,13.625,"Tuesday",1987-03-10
"70",112,-3.433544304,28.5,17,"Wednesday",1987-03-11
"71",125,30.566455696,33.5,22.375,"Thursday",1987-03-12
"72",128,5.5664556962,34,33.125,"Friday",1987-03-13
"73",106,7.5664556962,37,33,"Saturday",1987-03-14
"74",113,NA,35,24.5,"Sunday",1987-03-15
"75",117,-9.508417661,37.5,17.875,"Monday",1987-03-16
"76",127,13.566455696,38.5,19.375,"Tuesday",1987-03-17
"77",120,21.566455696,39.5,30.25,"Wednesday",1987-03-18
"78",121,-9.433544304,41.5,26.125,"Thursday",1987-03-19
"79",127,-13.4335443,43,16.625,"Friday",1987-03-20
"80",120,-1.433544304,43.5,22.5,"Saturday",1987-03-21
"81",100,1.4420726138,48,32.375,"Sunday",1987-03-22
"82",125,28.566455696,53.5,35.25,"Monday",1987-03-23
"83",132,16.566455696,57.5,46.125,"Tuesday",1987-03-24
"84",134,-27.4335443,45,40.125,"Wednesday",1987-03-25
"85",107,1.5664556962,45,40.25,"Thursday",1987-03-26
"86",102,5.5664556962,43,38.5,"Friday",1987-03-27
"87",128,-2.762280416,46,35,"Saturday",1987-03-28
"88",101,-4.433544304,39.5,30.125,"Sunday",1987-03-29
"89",125,-14.4335443,29,12.875,"Monday",1987-03-30
"90",106,1.5664556962,30,19,"Tuesday",1987-03-31
"91",119,-5.433544304,41.5,22.875,"Wednesday",1987-04-01
