"death","pm10tmean","date","tmpd","dptp","dow"
222,NA,1987-01-01,34.5,33.1875,"Thursday"
246,NA,1987-01-02,36.5,29.8125,"Friday"
214,-17.10315342,1987-01-03,35.75,23.3125,"Saturday"
208,NA,1987-01-04,30.25,20.375,"Sunday"
228,NA,1987-01-05,31.75,21.625,"Monday"
245,NA,1987-01-06,33.25,30.875,"Tuesday"
236,NA,1987-01-07,42,26.9375,"Wednesday"
224,NA,1987-01-08,35.25,16.75,"Thursday"
202,1.4561327231,1987-01-09,36.25,24.5625,"Friday"
209,NA,1987-01-10,38.5,40.0625,"Saturday"
226,NA,1987-01-11,38,22.5,"Sunday"
224,NA,1987-01-12,37,24.8125,"Monday"
224,NA,1987-01-13,39.5,23.3125,"Tuesday"
239,NA,1987-01-14,41,32.3125,"Wednesday"
226,5.0433816425,1987-01-15,49.75,40.1875,"Thursday"
238,NA,1987-01-16,39.5,14.5625,"Friday"
216,NA,1987-01-17,27.25,5.875,"Saturday"
208,NA,1987-01-18,32.25,35.125,"Sunday"
218,NA,1987-01-19,34.75,30.375,"Monday"
240,NA,1987-01-20,31,22.4375,"Tuesday"
231,4.7061327231,1987-01-21,35,18.3125,"Wednesday"
221,NA,1987-01-22,32,30.625,"Thursday"
233,NA,1987-01-23,27.25,11.9375,"Friday"
235,NA,1987-01-24,15.5,-3.875,"Saturday"
218,NA,1987-01-25,18,10.0625,"Sunday"
236,NA,1987-01-26,21.5,6.75,"Monday"
226,1.7211327231,1987-01-27,18,1.0625,"Tuesday"
230,NA,1987-01-28,22.5,11.25,"Wednesday"
226,NA,1987-01-29,30,20.8125,"Thursday"
219,NA,1987-01-30,34.5,36.125,"Friday"
235,NA,1987-01-31,34,19.75,"Saturday"
189,NA,1987-02-01,31.75,23.6875,"Sunday"
234,31.706132723,1987-02-02,39,33.75,"Monday"
260,NA,1987-02-03,43.25,33.25,"Tuesday"
226,NA,1987-02-04,38.5,21.5,"Wednesday"
225,NA,1987-02-05,29,13.1875,"Thursday"
213,NA,1987-02-06,37.75,25.375,"Friday"
215,NA,1987-02-07,41.5,23.25,"Saturday"
214,-3.624736842,1987-02-08,37.25,35.125,"Sunday"
223,NA,1987-02-09,29.75,9.9375,"Monday"
208,NA,1987-02-10,27.75,21.6875,"Tuesday"
206,NA,1987-02-11,35.5,17,"Wednesday"
215,NA,1987-02-12,31.5,25.3125,"Thursday"
212,NA,1987-02-13,25.25,-0.375,"Friday"
215,-9.302463768,1987-02-14,22.25,11.4375,"Saturday"
187,NA,1987-02-15,14.5,-5,"Sunday"
203,NA,1987-02-16,19.5,9.375,"Monday"
230,NA,1987-02-17,28,4.3125,"Tuesday"
234,NA,1987-02-18,32.75,8.3125,"Wednesday"
218,NA,1987-02-19,31,10.125,"Thursday"
